
Going to calculate the following Fibonacci numbers (#:trials-number):
#0:1-10   #1:50-5   #2:40-43   #3:50-10   
Participating SHORTs:
#0:1366   #1:1367   #2:1368   #3:1369   
START PRINTING 150 SWITCHES:
===================================================================
     PREV-PID - NEXT-PID - PREV-POL - NEXT-POL -   TIME   -  REASON
 61:     988  |    1105  |    OTHER |    OTHER |  393227  | STARTED WAITING
 62:    1105  |     988  |    OTHER |    OTHER |  393227  | HIGHER PRIO ARRIVED
 63:     988  |    1105  |    OTHER |    OTHER |  393227  | STARTED WAITING
 64:    1105  |    1124  |    OTHER |    OTHER |  393227  | STARTED WAITING
 65:    1124  |     988  |    OTHER |    OTHER |  393227  | HIGHER PRIO ARRIVED
 66:     988  |    1124  |    OTHER |    OTHER |  393227  | STARTED WAITING
 67:    1124  |     988  |    OTHER |    OTHER |  393227  | HIGHER PRIO ARRIVED
 68:     988  |    1124  |    OTHER |    OTHER |  393227  | STARTED WAITING
 69:    1124  |     427  |    OTHER |    OTHER |  393227  | STARTED WAITING
 70:     427  |    1368  |    OTHER |    SHORT |  393227  | STARTED WAITING
 71:    1368  |    1365  |    SHORT |       RT |  397265  | ENDED
 72:    1365  |     988  |       RT |    OTHER |  397265  | ENDED
 73:     988  |       3  |    OTHER |    OTHER |  397265  | STARTED WAITING
 74:       3  |       5  |    OTHER |    OTHER |  397265  | STARTED WAITING
 75:       5  |    1107  |    OTHER |    OTHER |  397265  | STARTED WAITING
 76:    1107  |     869  |    OTHER |    OTHER |  397265  | STARTED WAITING
 77:     869  |    1099  |    OTHER |    OTHER |  397265  | STARTED WAITING
 78:    1099  |    1101  |    OTHER |    OTHER |  397265  | STARTED WAITING
 79:    1101  |    1105  |    OTHER |    OTHER |  397267  | STARTED WAITING
 80:    1105  |     988  |    OTHER |    OTHER |  397267  | HIGHER PRIO ARRIVED
 81:     988  |    1105  |    OTHER |    OTHER |  397267  | STARTED WAITING
 82:    1105  |     988  |    OTHER |    OTHER |  397267  | HIGHER PRIO ARRIVED
 83:     988  |    1105  |    OTHER |    OTHER |  397267  | STARTED WAITING
 84:    1105  |     427  |    OTHER |    OTHER |  397267  | STARTED WAITING
 85:     427  |    1124  |    OTHER |    OTHER |  397267  | STARTED WAITING
 86:    1124  |     988  |    OTHER |    OTHER |  397267  | HIGHER PRIO ARRIVED
 87:     988  |    1124  |    OTHER |    OTHER |  397267  | STARTED WAITING
 88:    1124  |     988  |    OTHER |    OTHER |  397267  | HIGHER PRIO ARRIVED
 89:     988  |    1124  |    OTHER |    OTHER |  397267  | STARTED WAITING
 90:    1124  |       2  |    OTHER |    OTHER |  397267  | STARTED WAITING
 91:       2  |     988  |    OTHER |    OTHER |  397267  | STARTED WAITING
 92:     988  |       1  |    OTHER |    OTHER |  397267  | STARTED WAITING
 93:       1  |       7  |    OTHER |    OTHER |  397267  | STARTED WAITING
 94:       7  |    1106  |    OTHER |    OTHER |  397267  | STARTED WAITING
 95:    1106  |      16  |    OTHER |    OTHER |  397267  | STARTED WAITING
 96:      16  |    1085  |    OTHER |    OTHER |  397268  | STARTED WAITING
 97:    1085  |    1342  |    OTHER |    OTHER |  397268  | STARTED WAITING
 98:    1342  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
 99:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
100:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
101:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
102:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
103:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
104:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
105:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
106:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
107:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
108:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
109:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
110:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
111:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
112:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
113:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
114:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
115:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
116:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
117:    1006  |    1082  |    OTHER |    OTHER |  397268  | STARTED WAITING
118:    1082  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
119:     988  |    1082  |    OTHER |    OTHER |  397268  | STARTED WAITING
120:    1082  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
121:     988  |    1082  |    OTHER |    OTHER |  397268  | STARTED WAITING
122:    1082  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
123:     988  |    1082  |    OTHER |    OTHER |  397268  | STARTED WAITING
124:    1082  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
125:     988  |    1082  |    OTHER |    OTHER |  397268  | STARTED WAITING
126:    1082  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
127:     988  |    1082  |    OTHER |    OTHER |  397268  | STARTED WAITING
128:    1370  |    1371  |       RT |    SHORT |  397269  | STARTED WAITING
